"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","species","pcr_samps","sero_samps","filo_samps","hnv_samps","total_samps","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"1105","brachyphylla nana","Brachyphylla nana",FALSE,"179313",FALSE,"","1","brachyphylla nana",0,0,0,0,0,0,"LA","Brachyphylla_nana",NA,NA,NA
"863","cardioderma cor","Cardioderma cor",FALSE,"539631",FALSE,"","1","cardioderma cor",0,0,0,0,0,0,"Africa","Cardioderma_cor",NA,NA,NA
"1298","carollia castanea","Carollia castanea",FALSE,"941606",FALSE,"","1","carollia castanea",0,0,0,0,0,0,"LA","Carollia_castanea",NA,NA,NA
"1301","carollia sowelli","Carollia sowelli",FALSE,"958288",FALSE,"","1","carollia sowelli",0,0,0,0,0,0,"LA","Carollia_sowelli",NA,NA,NA
"1302","carollia subrufa","Carollia subrufa",FALSE,"587100",FALSE,"","1","carollia subrufa",0,0,0,0,0,0,"LA","Carollia_subrufa",NA,NA,NA
"973","centronycteris centralis","Centronycteris centralis",FALSE,"432531",FALSE,"","1","centronycteris centralis",0,0,0,0,0,0,"LA","Centronycteris_centralis",NA,NA,NA
"974","centronycteris maximiliani","Centronycteris maximiliani",FALSE,"846879",FALSE,"","1","centronycteris maximiliani",0,0,0,0,0,0,"LA","Centronycteris_maximiliani",NA,NA,NA
"1397","centurio senex","Centurio senex",FALSE,"351782",FALSE,"","1","centurio senex",0,0,0,0,0,0,"LA","Centurio_senex",NA,NA,NA
"1565","chaerephon aloysiisabaudiae","Chaerephon aloysiisabaudiae",FALSE,"3613963",FALSE,"","1","chaerephon aloysiisabaudiae",0,0,0,0,0,0,"Africa","Chaerephon_aloysiisabaudiae",NA,NA,NA
"1566","chaerephon ansorgei","Chaerephon ansorgei",FALSE,"999061",FALSE,"","1","chaerephon ansorgei",0,0,0,0,0,0,"Africa","Chaerephon_ansorgei",NA,NA,NA
"1567","chaerephon bemmeleni","Chaerephon bemmeleni",FALSE,"3613961",FALSE,"","1","chaerephon bemmeleni",0,0,0,0,0,0,"Africa","Chaerephon_bemmeleni",NA,NA,NA
"1570","chaerephon bivittatus","Chaerephon bivittatus",FALSE,"3613970",FALSE,"","1","chaerephon bivittatus",0,0,0,0,0,0,"Africa","Chaerephon_bivittatus",NA,NA,NA
"1571","chaerephon bregullae","Chaerephon bregullae",FALSE,"3613969",FALSE,"","1","chaerephon bregullae",0,0,0,0,0,0,"Oceania","Chaerephon_bregullae",NA,NA,NA
"1572","chaerephon chapini","Chaerephon chapini",FALSE,"661833",FALSE,"","1","chaerephon chapini",0,0,0,0,0,0,"Africa","Chaerephon_chapini",NA,NA,NA
"1575","chaerephon gallagheri","Chaerephon gallagheri",FALSE,"3613930",FALSE,"","1","chaerephon gallagheri",0,0,0,0,0,0,"Africa","Chaerephon_gallagheri",NA,NA,NA
"1576","chaerephon jobensis","Chaerephon jobensis",FALSE,"661824",FALSE,"","1","chaerephon jobensis",0,0,0,0,0,0,"Asia","Chaerephon_jobensis",NA,NA,NA
"1579","chaerephon johorensis","Chaerephon johorensis",FALSE,"3613967",FALSE,"","1","chaerephon johorensis",0,0,0,0,0,0,"Asia","Chaerephon_johorensis",NA,NA,NA
"1580","chaerephon leucogaster","Chaerephon leucogaster",FALSE,"943303",FALSE,"","1","chaerephon leucogaster",0,0,0,0,0,0,"Africa","Chaerephon_leucogaster",NA,NA,NA
"1581","chaerephon major","Chaerephon major",FALSE,"3613964",FALSE,"","1","chaerephon major",0,0,0,0,0,0,"Africa","Chaerephon_major",NA,NA,NA
"1582","chaerephon nigeriae","Chaerephon nigeriae",FALSE,"661827",FALSE,"","1","chaerephon nigeriae",0,0,0,0,0,0,"Africa","Chaerephon_nigeriae",NA,NA,NA
"1591","chaerephon pumilus","Chaerephon pumilus",FALSE,"1079628",FALSE,"","1","chaerephon pumilus",0,0,0,0,0,0,"Africa","Chaerephon_pumilus",NA,NA,NA
"1592","chaerephon russatus","Chaerephon russatus",FALSE,"3613968",FALSE,"","1","chaerephon russatus",0,0,0,0,0,0,"Africa","Chaerephon_russatus",NA,NA,NA
"1593","chaerephon shortridgei","Chaerephon shortridgei",FALSE,"3613966",FALSE,"","1","chaerephon shortridgei",0,0,0,0,0,0,"Africa","Chaerephon_shortridgei",NA,NA,NA
"1594","chaerephon solomonis","Chaerephon solomonis",FALSE,"3613973",FALSE,"","1","chaerephon solomonis",0,0,0,0,0,0,"Oceania","Chaerephon_solomonis",NA,NA,NA
"1595","chaerephon tomensis","Chaerephon tomensis",FALSE,"3613940",FALSE,"","1","chaerephon tomensis",0,0,0,0,0,0,"Africa","Chaerephon_tomensis",NA,NA,NA
"2175","chalinolobus dwyeri","Chalinolobus dwyeri",FALSE,"3613736",FALSE,"","1","chalinolobus dwyeri",0,0,0,0,0,0,"Australia","Chalinolobus_dwyeri",NA,NA,NA
"2176","chalinolobus gouldii","Chalinolobus gouldii",FALSE,"119979",FALSE,"","1","chalinolobus gouldii",0,0,0,0,0,0,"Australia","Chalinolobus_gouldii",NA,NA,NA
"2177","chalinolobus morio","Chalinolobus morio",FALSE,"905052",FALSE,"","1","chalinolobus morio",0,0,0,0,0,0,"Australia","Chalinolobus_morio",NA,NA,NA
"2178","chalinolobus neocaledonicus","Chalinolobus neocaledonicus",FALSE,"3613734",FALSE,"","1","chalinolobus neocaledonicus",0,0,0,0,0,0,"Oceania","Chalinolobus_neocaledonicus",NA,NA,NA
"2179","chalinolobus nigrogriseus","Chalinolobus nigrogriseus",FALSE,"1066074",FALSE,"","1","chalinolobus nigrogriseus",0,0,0,0,0,0,"Australia","Chalinolobus_nigrogriseus",NA,NA,NA
"2182","chalinolobus picatus","Chalinolobus picatus",FALSE,"3613740",FALSE,"","1","chalinolobus picatus",0,0,0,0,0,0,"Australia","Chalinolobus_picatus",NA,NA,NA
"2183","chalinolobus tuberculatus","Chalinolobus tuberculatus",FALSE,"970126",FALSE,"","1","chalinolobus tuberculatus",0,0,0,0,0,0,"Oceania","Chalinolobus_tuberculatus",NA,NA,NA
"1597","cheiromeles parvidens","Cheiromeles parvidens",FALSE,"539635",FALSE,"","1","cheiromeles parvidens",0,0,0,0,0,0,"Asia","Cheiromeles_parvidens",NA,NA,NA
"1598","cheiromeles torquatus","Cheiromeles torquatus",FALSE,"539633",FALSE,"","1","cheiromeles torquatus",0,0,0,0,0,0,"Asia","Cheiromeles_torquatus",NA,NA,NA
"1537","chilonatalus micropus","Chilonatalus micropus",FALSE,"6795",FALSE,"","1","chilonatalus micropus",0,0,0,0,0,0,"LA","Chilonatalus_micropus",NA,NA,NA
"1541","chilonatalus tumidifrons","Chilonatalus tumidifrons",FALSE,"120235",FALSE,"","1","chilonatalus tumidifrons",0,0,0,0,0,0,"LA","Chilonatalus_tumidifrons",NA,NA,NA
"1401","chiroderma doriae","Chiroderma doriae",FALSE,"565588",FALSE,"","1","chiroderma doriae",0,0,0,0,0,0,"LA","Chiroderma_doriae",NA,NA,NA
"1402","chiroderma improvisum","Chiroderma improvisum",FALSE,"565590",FALSE,"","1","chiroderma improvisum",0,0,0,0,0,0,"LA","Chiroderma_improvisum",NA,NA,NA
"1403","chiroderma salvini","Chiroderma salvini",FALSE,"351785",FALSE,"","1","chiroderma salvini",0,0,0,0,0,0,"LA","Chiroderma_salvini",NA,NA,NA
"1406","chiroderma trinitatum","Chiroderma trinitatum",FALSE,"351787",FALSE,"","1","chiroderma trinitatum",0,0,0,0,0,0,"LA","Chiroderma_trinitatum",NA,NA,NA
"1407","chiroderma villosum","Chiroderma villosum",FALSE,"565586",FALSE,"","1","chiroderma villosum",0,0,0,0,0,0,"LA","Chiroderma_villosum",NA,NA,NA
"362","chironax melanocephalus","Chironax melanocephalus",FALSE,"99586",FALSE,"","1","chironax melanocephalus",0,0,0,0,0,0,"Asia","Chironax_melanocephalus",NA,NA,NA
"1136","choeroniscus godmani","Choeroniscus godmani",FALSE,"503371",FALSE,"","1","choeroniscus godmani",0,0,0,0,0,0,"LA","Choeroniscus_godmani",NA,NA,NA
"1137","choeroniscus minor","Choeroniscus minor",FALSE,"596426",FALSE,"","1","choeroniscus minor",0,0,0,0,0,0,"LA","Choeroniscus_minor",NA,NA,NA
"1138","choeroniscus periosus","Choeroniscus periosus",FALSE,"3613589",FALSE,"","1","choeroniscus periosus",0,0,0,0,0,0,"LA","Choeroniscus_periosus",NA,NA,NA
"1142","choeronycteris mexicana","Choeronycteris mexicana",FALSE,"658354",FALSE,"","1","choeronycteris mexicana",0,0,0,0,0,0,"LA","Choeronycteris_mexicana",NA,NA,NA
"1207","chrotopterus auritus","Chrotopterus auritus",FALSE,"1060474",FALSE,"","1","chrotopterus auritus",0,0,0,0,0,0,"LA","Chrotopterus_auritus",NA,NA,NA
"2333","cistugo lesueuri","Cistugo lesueuri",FALSE,"488515",FALSE,"","1","cistugo lesueuri",0,0,0,0,0,0,"Africa","Cistugo_lesueuri",NA,NA,NA
"2334","cistugo seabrae","Cistugo seabrae",FALSE,"533601",FALSE,"","1","cistugo seabrae",0,0,0,0,0,0,"Africa","Cistugo_seabrae",NA,NA,NA
"692","cloeotis percivali","Cloeotis percivali",FALSE,"787368",FALSE,"","1","cloeotis percivali",0,0,0,0,0,0,"Africa","Cloeotis_percivali",NA,NA,NA
"696","coelops frithii","Coelops frithii",FALSE,"1011482",FALSE,"","1","coelops frithii",0,0,0,0,0,0,"Asia","Coelops_frithii",NA,NA,NA
"702","coelops robinsoni","Coelops robinsoni",FALSE,"426035",FALSE,"","1","coelops robinsoni",0,0,0,0,0,0,"Asia","Coelops_robinsoni",NA,NA,NA
"977","coleura seychellensis","Coleura seychellensis",FALSE,"73572",FALSE,"","1","coleura seychellensis",0,0,0,0,0,0,"Africa","Coleura_seychellensis",NA,NA,NA
"981","cormura brevirostris","Cormura brevirostris",FALSE,"75171",FALSE,"","1","cormura brevirostris",0,0,0,0,0,0,"LA","Cormura_brevirostris",NA,NA,NA
"2137","corynorhinus mexicanus","Corynorhinus mexicanus",FALSE,"226087",FALSE,"","1","corynorhinus mexicanus",0,0,0,0,0,0,"LA","Corynorhinus_mexicanus",NA,NA,NA
"2138","corynorhinus rafinesquii","Plecotus rafinesquii",FALSE,"977392",TRUE,"","1","corynorhinus rafinesquii",0,0,0,0,0,0,"NA","Plecotus_rafinesquii",NA,NA,NA
"2141","corynorhinus townsendii","Corynorhinus townsendii",FALSE,"842471",FALSE,"","1","corynorhinus townsendii",0,0,0,0,0,0,"NA","Corynorhinus_townsendii",NA,NA,NA
"913","craseonycteris thonglongyai","Craseonycteris thonglongyai",FALSE,"432482",FALSE,"","1","craseonycteris thonglongyai",0,0,0,0,0,0,"Asia","Craseonycteris_thonglongyai",NA,NA,NA
"1603","cynomops abrasus","Cynomops abrasus",FALSE,"1014495",FALSE,"","1","cynomops abrasus",0,0,0,0,0,0,"LA","Cynomops_abrasus",NA,NA,NA
"1608","cynomops greenhalli","Cynomops greenhalli",FALSE,"3613954",FALSE,"","1","cynomops greenhalli",0,0,0,0,0,0,"LA","Cynomops_greenhalli",NA,NA,NA
"1609","cynomops mexicanus","Cynomops mexicanus",FALSE,"3613953",FALSE,"","1","cynomops mexicanus",0,0,0,0,0,0,"LA","Cynomops_mexicanus",NA,NA,NA
"1610","cynomops paranus","Cynomops paranus",FALSE,"300974",FALSE,"","1","cynomops paranus",0,0,0,0,0,0,"LA","Cynomops_paranus",NA,NA,NA
"1611","cynomops planirostris","Cynomops planirostris",FALSE,"130215",FALSE,"","1","cynomops planirostris",0,0,0,0,0,0,"LA","Cynomops_planirostris",NA,NA,NA
"541","cynopterus luzoniensis","Cynopterus luzoniensis",FALSE,"3613467",FALSE,"","1","cynopterus luzoniensis",0,0,0,0,0,0,"Asia","Cynopterus_luzoniensis",NA,NA,NA
"556","cynopterus minutus","Cynopterus minutus",FALSE,"3613469",FALSE,"","1","cynopterus minutus",0,0,0,0,0,0,"Asia","Cynopterus_minutus",NA,NA,NA
"561","cynopterus nusatenggara","Cynopterus nusatenggara",FALSE,"285031",FALSE,"","1","cynopterus nusatenggara",0,0,0,0,0,0,"Asia","Cynopterus_nusatenggara",NA,NA,NA
"674","cynopterus titthaecheilus","Cynopterus titthaecheilus",FALSE,"1072696",FALSE,"","1","cynopterus titthaecheilus",0,0,0,0,0,0,"Asia","Cynopterus_titthaecheilus",NA,NA,NA
"983","cyttarops alecto","Cyttarops alecto",FALSE,"599540",FALSE,"","1","cyttarops alecto",0,0,0,0,0,0,"LA","Cyttarops_alecto",NA,NA,NA
"1096","diaemus youngi","Diaemus youngi",FALSE,"1060472",FALSE,"","1","diaemus youngi",0,0,0,0,0,0,"LA","Diaemus_youngi",NA,NA,NA
"987","diclidurus albus","Diclidurus albus",FALSE,"1060477",FALSE,"","1","diclidurus albus",0,0,0,0,0,0,"LA","Diclidurus_albus",NA,NA,NA
"990","diclidurus ingens","Diclidurus ingens",FALSE,"432527",FALSE,"","1","diclidurus ingens",0,0,0,0,0,0,"LA","Diclidurus_ingens",NA,NA,NA
"991","diclidurus isabellus","Diclidurus isabellus",FALSE,"599538",FALSE,"","1","diclidurus isabellus",0,0,0,0,0,0,"LA","Diclidurus_isabellus",NA,NA,NA
"992","diclidurus scutatus","Diclidurus scutatus",FALSE,"391954",FALSE,"","1","diclidurus scutatus",0,0,0,0,0,0,"LA","Diclidurus_scutatus",NA,NA,NA
"1098","diphylla ecaudata","Diphylla ecaudata",FALSE,"1060475",FALSE,"","1","diphylla ecaudata",0,0,0,0,0,0,"LA","Diphylla_ecaudata",NA,NA,NA
"721","dobsonia anderseni","Dobsonia anderseni",FALSE,"3613450",FALSE,"","1","dobsonia anderseni",0,0,0,0,0,0,"Oceania","Dobsonia_anderseni",NA,NA,NA
"732","dobsonia beauforti","Dobsonia beauforti",FALSE,"3613454",FALSE,"","1","dobsonia beauforti",0,0,0,0,0,0,"Asia","Dobsonia_beauforti",NA,NA,NA
"742","dobsonia chapmani","Dobsonia chapmani",FALSE,"3613453",FALSE,"","1","dobsonia chapmani",0,0,0,0,0,0,"Asia","Dobsonia_chapmani",NA,NA,NA
"757","dobsonia crenulata","Dobsonia crenulata",FALSE,"3613457",FALSE,"","1","dobsonia crenulata",0,0,0,0,0,0,"Asia","Dobsonia_crenulata",NA,NA,NA
"761","dobsonia emersa","Dobsonia emersa",FALSE,"3613452",FALSE,"","1","dobsonia emersa",0,0,0,0,0,0,"Asia","Dobsonia_emersa",NA,NA,NA
"771","dobsonia exoleta","Dobsonia exoleta",FALSE,"3613456",FALSE,"","1","dobsonia exoleta",0,0,0,0,0,0,"Asia","Dobsonia_exoleta",NA,NA,NA
"781","dobsonia inermis","Dobsonia inermis",FALSE,"48409",FALSE,"","1","dobsonia inermis",0,0,0,0,0,0,"Oceania","Dobsonia_inermis",NA,NA,NA
"819","dobsonia magna","Dobsonia magna",FALSE,"340690",FALSE,"","1","dobsonia magna",0,0,0,0,0,0,"Oceania","Dobsonia_magna",NA,NA,NA
"821","dobsonia minor","Dobsonia minor",FALSE,"48408",FALSE,"","1","dobsonia minor",0,0,0,0,0,0,"Asia","Dobsonia_minor",NA,NA,NA
"836","dobsonia moluccensis","Dobsonia moluccensis",FALSE,"1032365",FALSE,"","1","dobsonia moluccensis",0,0,0,0,0,0,"Asia","Dobsonia_moluccensis",NA,NA,NA
"841","dobsonia pannietensis","Dobsonia pannietensis",FALSE,"48407",FALSE,"","1","dobsonia pannietensis",0,0,0,0,0,0,"Oceania","Dobsonia_pannietensis",NA,NA,NA
"871","dobsonia peronii","Dobsonia peronii",FALSE,"3613451",FALSE,"","1","dobsonia peronii",0,0,0,0,0,0,"Asia","Dobsonia_peronii",NA,NA,NA
"901","dobsonia praedatrix","Dobsonia praedatrix",FALSE,"48403",FALSE,"","1","dobsonia praedatrix",0,0,0,0,0,0,"Oceania","Dobsonia_praedatrix",NA,NA,NA
"911","dobsonia viridis","Dobsonia viridis",FALSE,"48402",FALSE,"","1","dobsonia viridis",0,0,0,0,0,0,"Asia","Dobsonia_viridis",NA,NA,NA
"931","dyacopterus brooksi","Dyacopterus brooksi",FALSE,"3613518",FALSE,"","1","dyacopterus brooksi",0,0,0,0,0,0,"Asia","Dyacopterus_brooksi",NA,NA,NA
"941","dyacopterus spadiceus","Dyacopterus spadiceus",FALSE,"606019",FALSE,"","1","dyacopterus spadiceus",0,0,0,0,0,0,"Asia","Dyacopterus_spadiceus",NA,NA,NA
"1411","ectophylla alba","Ectophylla alba",FALSE,"842061",FALSE,"","1","ectophylla alba",0,0,0,0,0,0,"LA","Ectophylla_alba",NA,NA,NA
"999","emballonura atrata","Emballonura atrata",FALSE,"156176",FALSE,"SIBLING_HIGHER","1","emballonura atrata",0,0,0,0,0,0,"Africa","Emballonura_atrata",NA,NA,NA
"1000","emballonura beccarii","Emballonura beccarii",FALSE,"514602",FALSE,"SIBLING_HIGHER","1","emballonura beccarii",0,0,0,0,0,0,"Asia","Emballonura_beccarii",NA,NA,NA
"1004","emballonura dianae","Emballonura dianae",FALSE,"426050",FALSE,"SIBLING_HIGHER","1","emballonura dianae",0,0,0,0,0,0,"Oceania","Emballonura_dianae",NA,NA,NA
"1008","emballonura furax","Emballonura furax",FALSE,"3613559",FALSE,"SIBLING_HIGHER","1","emballonura furax",0,0,0,0,0,0,"Asia","Emballonura_furax",NA,NA,NA
"1010","emballonura raffrayana","Emballonura raffrayana",FALSE,"514588",FALSE,"SIBLING_HIGHER","1","emballonura raffrayana",0,0,0,0,0,0,"Asia","Emballonura_raffrayana",NA,NA,NA
"1014","emballonura semicaudata","Emballonura semicaudata",FALSE,"99583",FALSE,"SIBLING_HIGHER","1","emballonura semicaudata",0,0,0,0,0,0,"Oceania","Emballonura_semicaudata",NA,NA,NA
"1019","emballonura serii","Emballonura serii",FALSE,"464409",FALSE,"SIBLING_HIGHER","1","emballonura serii",0,0,0,0,0,0,"Oceania","Emballonura_serii",NA,NA,NA
"1413","enchisthenes hartii","Artibeus hartii",FALSE,"927292",TRUE,"SIBLING_HIGHER","1","enchisthenes hartii",0,0,0,0,0,0,"LA","Artibeus_hartii",NA,NA,NA
"1022","eonycteris major","Eonycteris major",FALSE,"505801",FALSE,"","1","eonycteris major",0,0,0,0,0,0,"Asia","Eonycteris_major",NA,NA,NA
"103","eonycteris robusta","Eonycteris robusta",FALSE,"89715",FALSE,"","1","eonycteris robusta",0,0,0,0,0,0,"Asia","Eonycteris_robusta",NA,NA,NA
"110","epomophorus angolensis","Epomophorus angolensis",FALSE,"3613513",FALSE,"","1","epomophorus angolensis",0,0,0,0,0,0,"Africa","Epomophorus_angolensis",NA,NA,NA
"111","epomophorus crypturus","Epomophorus crypturus",FALSE,"15293",FALSE,"","1","epomophorus crypturus",0,0,0,0,0,0,"Africa","Epomophorus_crypturus",NA,NA,NA
"115","epomophorus grandis","Epomophorus grandis",FALSE,"3613514",FALSE,"","1","epomophorus grandis",0,0,0,0,0,0,"Africa","Epomophorus_grandis",NA,NA,NA
"116","epomophorus labiatus","Epomophorus labiatus",FALSE,"1004006",FALSE,"","1","epomophorus labiatus",0,0,0,0,0,0,"Africa","Epomophorus_labiatus",NA,NA,NA
"117","epomophorus minimus","Epomophorus minimus",FALSE,"3613516",FALSE,"","1","epomophorus minimus",0,0,0,0,0,0,"Africa","Epomophorus_minimus",NA,NA,NA
"118","epomophorus minor","Epomophorus minor",FALSE,"787381",FALSE,"","1","epomophorus minor",0,0,0,0,0,0,"Africa","Epomophorus_minor",NA,NA,NA
"119","epomophorus wahlbergi","Epomophorus wahlbergi",FALSE,"113368",FALSE,"","1","epomophorus wahlbergi",0,0,0,0,0,0,"Africa","Epomophorus_wahlbergi",NA,NA,NA
"122","epomops dobsonii","Epomops dobsonii",FALSE,"3613509",FALSE,"","1","epomops dobsonii",0,0,0,0,0,0,"Africa","Epomops_dobsonii",NA,NA,NA
"1803","eptesicus andinus","Eptesicus andinus",FALSE,"3613786",FALSE,"SIBLING_HIGHER","1","eptesicus andinus",0,0,0,0,0,0,"LA","Eptesicus_andinus",NA,NA,NA
"1804","eptesicus bobrinskoi","Eptesicus bobrinskoi",FALSE,"873668",FALSE,"SIBLING_HIGHER","1","eptesicus bobrinskoi",0,0,0,0,0,0,"Asia","Eptesicus_bobrinskoi",NA,NA,NA
"1813","eptesicus brasiliensis","Eptesicus brasiliensis",FALSE,"176332",FALSE,"SIBLING_HIGHER","1","eptesicus brasiliensis",0,0,0,0,0,0,"LA","Eptesicus_brasiliensis",NA,NA,NA
"1818","eptesicus chiriquinus","Eptesicus chiriquinus",FALSE,"314000",FALSE,"SIBLING_HIGHER","1","eptesicus chiriquinus",0,0,0,0,0,0,"LA","Eptesicus_chiriquinus",NA,NA,NA
"1819","eptesicus diminutus","Eptesicus diminutus",FALSE,"353890",FALSE,"SIBLING_HIGHER","1","eptesicus diminutus",0,0,0,0,0,0,"LA","Eptesicus_diminutus",NA,NA,NA
"1822","eptesicus dimissus","Eptesicus dimissus",FALSE,"1059877",FALSE,"SIBLING_HIGHER","1","eptesicus dimissus",0,0,0,0,0,0,"Asia","Eptesicus_dimissus",NA,NA,NA
"1823","eptesicus floweri","Eptesicus floweri",FALSE,"3613787",FALSE,"SIBLING_HIGHER","1","eptesicus floweri",0,0,0,0,0,0,"Africa","Eptesicus_floweri",NA,NA,NA
"1824","eptesicus furinalis","Eptesicus furinalis",FALSE,"842474",FALSE,"SIBLING_HIGHER","1","eptesicus furinalis",0,0,0,0,0,0,"LA","Eptesicus_furinalis",NA,NA,NA
"1829","eptesicus fuscus","Eptesicus fuscus",FALSE,"10737",FALSE,"SIBLING_HIGHER","1","eptesicus fuscus",0,0,0,0,0,0,"NA","Eptesicus_fuscus",NA,NA,NA
"1842","eptesicus gobiensis","Eptesicus gobiensis",FALSE,"400030",FALSE,"SIBLING_HIGHER","1","eptesicus gobiensis",0,0,0,0,0,0,"Africa","Eptesicus_gobiensis",NA,NA,NA
"1846","eptesicus guadeloupensis","Eptesicus guadeloupensis",FALSE,"3613781",FALSE,"SIBLING_HIGHER","1","eptesicus guadeloupensis",0,0,0,0,0,0,"LA","Eptesicus_guadeloupensis",NA,NA,NA
"1847","eptesicus hottentotus","Eptesicus hottentotus",FALSE,"716071",FALSE,"SIBLING_HIGHER","1","eptesicus hottentotus",0,0,0,0,0,0,"Africa","Eptesicus_hottentotus",NA,NA,NA
"1851","eptesicus innoxius","Eptesicus innoxius",FALSE,"3613782",FALSE,"SIBLING_HIGHER","1","eptesicus innoxius",0,0,0,0,0,0,"LA","Eptesicus_innoxius",NA,NA,NA
"1852","eptesicus japonensis","Eptesicus japonensis",FALSE,"3613783",FALSE,"SIBLING_HIGHER","1","eptesicus japonensis",0,0,0,0,0,0,"Asia","Eptesicus_japonensis",NA,NA,NA
"1853","eptesicus kobayashii","Eptesicus kobayashii",FALSE,"3613794",FALSE,"SIBLING_HIGHER","1","eptesicus kobayashii",0,0,0,0,0,0,"Asia","Eptesicus_kobayashii",NA,NA,NA
"1854","eptesicus matroka","Neoromicia matroka",FALSE,"514381",TRUE,"","1","eptesicus matroka",0,0,0,0,0,0,"Africa","Neoromicia_matroka",NA,NA,NA
"1855","eptesicus nasutus","Eptesicus nasutus",FALSE,"589478",FALSE,"SIBLING_HIGHER","1","eptesicus nasutus",0,0,0,0,0,0,"Asia","Eptesicus_nasutus",NA,NA,NA
"1860","eptesicus nilssonii","Eptesicus nilssonii",FALSE,"493714",FALSE,"SIBLING_HIGHER","1","eptesicus nilssonii",0,0,0,0,0,0,"Asia","Eptesicus_nilssonii",NA,NA,NA
"1863","eptesicus pachyotis","Eptesicus pachyotis",FALSE,"3613803",FALSE,"SIBLING_HIGHER","1","eptesicus pachyotis",0,0,0,0,0,0,"Asia","Eptesicus_pachyotis",NA,NA,NA
"1864","eptesicus platyops","Eptesicus platyops",FALSE,"3613797",FALSE,"SIBLING_HIGHER","1","eptesicus platyops",0,0,0,0,0,0,"Africa","Eptesicus_platyops",NA,NA,NA
"1865","eptesicus serotinus","Eptesicus serotinus",FALSE,"15443",FALSE,"SIBLING_HIGHER","1","eptesicus serotinus",0,0,0,0,0,0,"Europe","Eptesicus_serotinus",NA,NA,NA
"1876","eptesicus tatei","Eptesicus tatei",FALSE,"3613804",FALSE,"SIBLING_HIGHER","1","eptesicus tatei",0,0,0,0,0,0,"Asia","Eptesicus_tatei",NA,NA,NA
"1108","erophylla bombifrons","Erophylla bombifrons",FALSE,"120236",FALSE,"","2","erophylla bombifrons",0,0,0,0,0,0,"LA","Erophylla_bombifrons",NA,NA,NA
"1111","erophylla sezekorni","Erophylla sezekorni",FALSE,"534168",FALSE,"","1","erophylla sezekorni",0,0,0,0,0,0,"LA","Erophylla_sezekorni",NA,NA,NA
"2148","euderma maculatum","Euderma maculatum",FALSE,"76925",FALSE,"","1","euderma maculatum",0,0,0,0,0,0,"NA","Euderma_maculatum",NA,NA,NA
"2185","eudiscopus denticulus","Eudiscopus denticulus",FALSE,"388462",FALSE,"","1","eudiscopus denticulus",0,0,0,0,0,0,"Asia","Eudiscopus_denticulus",NA,NA,NA
"1613","eumops auripendulus","Eumops auripendulus",FALSE,"842476",FALSE,"","1","eumops auripendulus",0,0,0,0,0,0,"LA","Eumops_auripendulus",NA,NA,NA
"1616","eumops bonariensis","Eumops bonariensis",FALSE,"781186",FALSE,"","1","eumops bonariensis",0,0,0,0,0,0,"LA","Eumops_bonariensis",NA,NA,NA
"1620","eumops dabbenei","Eumops dabbenei",FALSE,"779246",FALSE,"","1","eumops dabbenei",0,0,0,0,0,0,"LA","Eumops_dabbenei",NA,NA,NA
"1621","eumops glaucinus","Eumops glaucinus",FALSE,"548118",FALSE,"","1","eumops glaucinus",0,0,0,0,0,0,"LA","Eumops_glaucinus",NA,NA,NA
"1624","eumops hansae","Eumops hansae",FALSE,"599542",FALSE,"","1","eumops hansae",0,0,0,0,0,0,"LA","Eumops_hansae",NA,NA,NA
"1625","eumops maurus","Eumops maurus",FALSE,"633528",FALSE,"","1","eumops maurus",0,0,0,0,0,0,"LA","Eumops_maurus",NA,NA,NA
"1626","eumops patagonicus","Eumops patagonicus",FALSE,"839631",FALSE,"","1","eumops patagonicus",0,0,0,0,0,0,"LA","Eumops_patagonicus",NA,NA,NA
"1629","eumops perotis","Eumops perotis",FALSE,"301606",FALSE,"","1","eumops perotis",0,0,0,0,0,0,"LA","Eumops_perotis",NA,NA,NA
"1633","eumops trumbulli","Eumops trumbulli",FALSE,"3614008",FALSE,"","1","eumops trumbulli",0,0,0,0,0,0,"LA","Eumops_trumbulli",NA,NA,NA
"1634","eumops underwoodi","Eumops underwoodi",FALSE,"446280",FALSE,"","1","eumops underwoodi",0,0,0,0,0,0,"LA","Eumops_underwoodi",NA,NA,NA
"2187","falsistrellus affinis","Falsistrellus affinis",FALSE,"3613838",FALSE,"","1","falsistrellus affinis",0,0,0,0,0,0,"Asia","Falsistrellus_affinis",NA,NA,NA
"2188","falsistrellus mackenziei","Falsistrellus mackenziei",FALSE,"3614164",FALSE,"","1","falsistrellus mackenziei",0,0,0,0,0,0,"Australia","Falsistrellus_mackenziei",NA,NA,NA
"2189","falsistrellus mordax","Falsistrellus mordax",FALSE,"3613841",FALSE,"","1","falsistrellus mordax",0,0,0,0,0,0,"Asia","Falsistrellus_mordax",NA,NA,NA
"2190","falsistrellus petersi","Falsistrellus petersi",FALSE,"3614193",FALSE,"","1","falsistrellus petersi",0,0,0,0,0,0,"Asia","Falsistrellus_petersi",NA,NA,NA
"2191","falsistrellus tasmaniensis","Falsistrellus tasmaniensis",FALSE,"3613842",FALSE,"","1","falsistrellus tasmaniensis",0,0,0,0,0,0,"Australia","Falsistrellus_tasmaniensis",NA,NA,NA
