"","species","filo_samps","hnv_samps","total_samps","filo_positive","hnv_positive","positive","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"512","mormopterus norfolkensis",0,0,0,NA,NA,NA,"mormopterus norfolkensis","Mormopterus_norfolkensis",FALSE,"3613993",FALSE,"","1",0,"Australia","Mormopterus_norfolkensis",NA,NA,NA
"513","mormopterus phrudus",0,0,0,NA,NA,NA,"mormopterus phrudus","Mormopterus_phrudus",FALSE,"3614001",FALSE,"","1",0,"LA","Mormopterus_phrudus",NA,NA,NA
"514","mormopterus planiceps",0,0,0,NA,NA,NA,"mormopterus planiceps","Mormopterus_planiceps",FALSE,"171158",FALSE,"","1",0,"Australia","Mormopterus_planiceps",NA,NA,NA
"515","mosia nigrescens",0,0,0,NA,NA,NA,"mosia nigrescens","Mosia_nigrescens",FALSE,"464407",FALSE,"","1",0,"Asia","Mosia_nigrescens",NA,NA,NA
"516","murina aenea",0,0,0,NA,NA,NA,"murina aenea","Murina_aenea",FALSE,"448968",FALSE,"","1",0,"Asia","Murina_aenea",NA,NA,NA
"517","murina aurata",0,0,0,NA,NA,NA,"murina aurata","Murina_aurata",FALSE,"45655",FALSE,"","1",0,"Asia","Murina_aurata",NA,NA,NA
"519","murina florium",0,0,0,NA,NA,NA,"murina florium","Murina_florium",FALSE,"434676",FALSE,"","1",0,"Asia","Murina_florium",NA,NA,NA
"520","murina fusca",0,0,0,NA,NA,NA,"murina fusca","Murina_fusca",FALSE,"3613776",FALSE,"","1",0,"Asia","Murina_fusca",NA,NA,NA
"521","murina grisea",0,0,0,NA,NA,NA,"murina grisea","Harpiola_grisea",FALSE,"3613626",TRUE,"","1",0,"Asia","Harpiola_grisea",NA,NA,NA
"522","murina hilgendorfi",0,0,0,NA,NA,NA,"murina hilgendorfi","Murina_hilgendorfi",FALSE,"448966",FALSE,"","1",0,"Asia","Murina_hilgendorfi",NA,NA,NA
"523","murina huttoni",0,0,0,NA,NA,NA,"murina huttoni","Murina_huttoni",FALSE,"61865",FALSE,"","1",0,"Asia","Murina_huttoni",NA,NA,NA
